source_file,token_count,occurrence_count
A04555.txt,64027,0
A02775.txt,63307,0
A01292.txt,62957,0
A01291.txt,62606,0
A13075.txt,61218,0
A00430.txt,61047,0
A04166.txt,60271,0
A15324.txt,59947,0
A06118.txt,59142,0
A15035.txt,56660,0
A18429.txt,55698,0
A01009.txt,54524,0
A14614.txt,53616,0
A11074.txt,52492,0
A08812.txt,52340,0
A00448.txt,52023,0
A16183.txt,51666,0
A11769.txt,51558,0
A01228.txt,48210,0
A03648.txt,47900,0
A04389.txt,47063,0
A07782.txt,46184,0
A01454.txt,45563,0
A10809.txt,44846,0
A05575.txt,44817,0
A04498.txt,43037,0
A07935.txt,41258,0
A16308.txt,40964,0
A12956.txt,39624,0
A07619.txt,38075,0
A06927.txt,36938,0
A03459.txt,36629,0
A06534.txt,34240,0
A00505.txt,33943,0
A16702.txt,33076,0
A02681.txt,32148,0
A09674.txt,32115,0
A16851.txt,31498,0
A01446.txt,31188,0
A13836.txt,30887,0
A15363.txt,30081,0
A16469.txt,30048,0
A14005.txt,29636,0
